question,answer,prediction
Was Abraham Lincoln the sixteenth President of the United States?,yes,Yes.
Did Lincoln sign the National Banking Act of 1863?,yes,Yes.
Did his mother die of pneumonia?,no,No.
How many long was Lincoln's formal education?,18 months,18 months
When did Lincoln begin his political career?,1832,1832
What did The Legal Tender Act of 1862 establish?,"the United States Note, the first paper currency in United States history","The United States Note, the first paper currency in United States history."
Who suggested Lincoln grow a beard?,11-year-old Grace Bedell,Grace Bedell
When did the Gettysburg address argue that America was born?,1776,1776
Did Lincoln beat John C. Breckinridge in the 1860 election?,yes,Yes.
Was Abraham Lincoln the first President of the United States?,No,No.
Did Lincoln start his political career in 1832?,Yes,Yes.
Did Lincoln ever represent Alton & Sangamon Railroad?,Yes,Yes.
Which county was Lincoln born in?,Hardin County,Hardin County
When did Lincoln first serve as President?,"March 4, 1861","March 4, 1861"
Who assassinated Lincoln?,John Wilkes Booth,John Wilkes Booth
Did Lincoln win the election of 1860?,Yes,Yes.
Who was the general in charge at the Battle of Antietam?,General McClellan,George McClellan
Why did Lincoln issue the Emancipation Proclamation?,To free slaves ,To weaken the rebellion and liberate slaves owned by rebels.
Do scholars rank lincoln among the top three presidents?,Yes,Yes.
Did lincoln have 18 months of schooling?,Yes,Yes.
Was Lincoln chosen as a presidential candidate in 1860?,Yes,Yes.
How old was Lincoln in 1816?,seven,Seven years old
When was the first photgraph of lincoln taken?,1846,1846
How long was Lincoln's legal Career?,23 years,Not specified in the context.
What trail did Lincoln use a Farmers' Almanac in? ,"he defended William ""Duff"" Armstrong",No trail specified.
Did Abraham Lincoln live in the Frontier?,Yes,Yes.
Did Lincoln's Wife's Family support slavery?,Yes,No.
Who is most noted for his contributions to the theory of molarity and molecular weight?,Amedeo Avogadro,Avogadro
Who graduated in ecclesiastical law at the early age of 20 and began to practice?,Amedeo Avogadro,Young Adams
When did he publish another memoria?,1821,1821
When did he become a professor?,1820,1892
Is it true that he became a professor in 1820?,yes,Yes.
Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,yes,Yes.
"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",yes,Yes.
Is he most noted for his contributions to the theory of molarity and molecular weight?,yes,Yes.
Was King Victor Emmanuel III there to pay homage to Avogadro ?,yes,Yes.
Is Avogadro 's number commonly used to compute the results of chemical reactions ?,yes,Yes.
Did the scientific community not reserve great attention to his theory ?,yes,Yes.
Can the title of this famous 1811 paper be roughly translated into english?,yes,On magnetism
What happened in 1833?,Avogadro had been recalled to Turin university,No information provided.
Who determined the dependence of the boiling of water with atmospheric pressure?,Anders Celsius,Anders Celsius
What is named after him?,The Celsius crater on the Moon,Teddy bear
When did he publish a collection?,1733,No
Is it true that he published a collection in 1738?,No,No.
Is it true that thermometer had 100 for the freezing point?,Yes,No
Was Celsius born in Uppsala in Sweden?,Yes,Yes.
"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?",Yes,Yes.
Is The Celsius crater on the Moon named after him?,Yes,Yes
Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,Anders Celsius,Anders Celsius
The Celsius crater on the Moon is what?,named after him,A crater
Is the Celsius crater on the Moon named after him ?,Yes,Yes
Had his thermometer 100 for the freezing point of water and 0 for the boiling point ?,Yes it had,No
Was Celsius born in Uppsala in Sweden ?,Yes,Yes
Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?,Yes he did,No
What happened from 1730 to 1744?,He was professor of astronomy at Uppsala University,No information provided.
What happened in 1745?,The scale was reversed,No event mentioned in the context.
Are beetles insects?,Yes,Yes.
Can beetles be found in polar regions?,No,No
Do beetles antennae function primarily as organs of smell?,Yes,Yes.
What are the three sections of a beetle?,"the head, the thorax, and the abdomen","Head, thorax, abdomen"
Which defense mechanism uses colour or shape to deceive potential enemies?,mimicry,Mimicry
Which type of beetle is a pest of potato plants?,Colorado potato beetle,Colorado potato beetle
How can beetle larvae be differentiated from other insect larvae?,"their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body","Hardened, often darkened head, chewing mouthparts, spiracles along the sides of the body."
What do beetles eat?,"Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet.","Plants, fungi, animal debris, other invertebrates, and sometimes other insects."
What are the similarities between beetles and grasshoppers?,mouthparts,Both have chewing mouthparts.
Are certain species of beetles considered pests?,Yes,Yes.
Is a beetle's general anatomy uniform?,Yes,Yes.
Are beetles endopterygotes?,yes,Yes.
How many species of beetles are there?,"350,000","About 350,000 species"
When are sperm cells transferred to the female?,during pairing,During pairing
What is the study of beetles called?,coleopterology,Coleopterology
"Is it possible that there are more than 350,000 species of beetles?",yes,Yes.
Is the Adephaga suborder larger than the Polyphaga suborder?,no,No.
Do carrion beetles eat dung?,no,No.
What are prey of various animals including birds and mammals?,Beetles.,"Ducks, ungulates, monkeys, rodents, reptiles, amphibians, fish, crocodiles, deer, antelopes, Ibex, caribou calves"
What was given by Aristotle for the hardened shield like forewings?,"The name ""Coleoptera"".",Coleo = shield + ptera = wing
Who or what vary greatly in form within the coleoptera?,Antennae.,Both A and B vary greatly in form within the coleoptera.
Are many beetles territorial?,Yes.,Yes.
Are beetles endopterygotes with complete metamorphosis?,Yes.,Yes.
Oxygen is what?,One kind of gas obtained via a tracheal system.,Molecule
Is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?,Yes.,Yes.
Have coleopterists formed organisations to facilitate the study of beetles ?,Yes.,Yes.
"Is the study of beetles called coleopterology , and its practitioners are coleopterists ?",Yes.,Yes.
May a single female lay from several dozen to several thousand eggs during her lifetime ?,Yes.,Yes.
Can beetles be found in almost all habitats?,Yes.,Yes.
What happened on plants and fungi?,They are food to beetles.,Clearing of vegetation
Was Calvin Coolidge the twenty-ninth vice president?,no,Yes.
"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?",yes,Yes
Did Coolidge graduate from Black River Academy?,yes,Yes.
When did he drop John from his name?,upon graduating from college,No information provided.
